Image,Brightness,Contrast,Blur,Gamma,CLAHE,Sharpen,Enhanced
0001TP_006690.png,45.95,56.89,116.23,Yes,No,No,Yes
0001TP_006720.png,46.91,57.36,117.59,Yes,No,No,Yes
0001TP_006750.png,47.31,57.16,121.91,Yes,No,No,Yes
0001TP_006780.png,47.9,55.11,114.78,Yes,No,No,Yes
0001TP_006810.png,52.8,59.46,121.33,Yes,No,No,Yes
0001TP_006840.png,51.06,57.12,113.08,Yes,No,No,Yes
0001TP_006870.png,52.75,58.27,118.51,Yes,No,No,Yes
0001TP_006900.png,57.7,58.94,138.91,Yes,No,No,Yes
0001TP_006930.png,61.19,61.49,167.64,Yes,No,No,Yes
0001TP_006960.png,59.96,60.68,210.05,Yes,No,No,Yes
0001TP_006990.png,56.44,58.8,226.17,Yes,No,No,Yes
0001TP_007020.png,57.29,57.11,297.32,Yes,No,No,Yes
0001TP_007050.png,52.01,52.29,286.77,Yes,No,No,Yes
0001TP_007080.png,47.32,51.44,204.55,Yes,No,No,Yes
0001TP_007110.png,47.78,53.27,215.68,Yes,No,No,Yes
0001TP_007140.png,58.04,62.34,303.24,Yes,No,No,Yes
0001TP_007170.png,63.77,63.36,281.18,Yes,No,No,Yes
0001TP_007200.png,67.64,62.9,248.2,Yes,No,No,Yes
0001TP_007230.png,63.32,60.94,383.01,Yes,No,No,Yes
0001TP_007260.png,61.16,59.4,414.66,Yes,No,No,Yes
0001TP_007290.png,59.19,56.94,317.96,Yes,No,No,Yes
0001TP_007320.png,57.41,56.45,330.69,Yes,No,No,Yes
0001TP_007350.png,65.85,61.09,244.86,Yes,No,No,Yes
0001TP_007380.png,66.29,60.85,199.15,Yes,No,No,Yes
0001TP_007410.png,64.69,60.35,175.35,Yes,No,No,Yes
0001TP_007440.png,61.37,59.81,149.31,Yes,No,No,Yes
0001TP_007470.png,57.3,58.87,114.96,Yes,No,No,Yes
0001TP_007500.png,59.75,58.78,140.08,Yes,No,No,Yes
0001TP_007530.png,64.4,58.95,145.03,Yes,No,No,Yes
0001TP_007560.png,64.73,60.89,148.63,Yes,No,No,Yes
0001TP_007590.png,66.86,61.65,118.5,Yes,No,No,Yes
0001TP_007620.png,67.09,62.44,77.44,Yes,No,Yes,Yes
0001TP_007650.png,67.06,62.07,72.95,Yes,No,Yes,Yes
0001TP_007680.png,67.96,61.41,87.94,Yes,No,No,Yes
0001TP_007710.png,65.81,60.34,115.18,Yes,No,No,Yes
0001TP_007740.png,59.69,57.0,91.68,Yes,No,No,Yes
0001TP_007770.png,62.08,58.73,96.18,Yes,No,No,Yes
0001TP_007800.png,65.9,60.25,106.04,Yes,No,No,Yes
0001TP_007830.png,66.47,60.1,112.02,Yes,No,No,Yes
0001TP_007860.png,65.7,59.06,120.03,Yes,No,No,Yes
0001TP_007890.png,62.46,56.9,125.27,Yes,No,No,Yes
0001TP_007920.png,64.51,56.67,119.38,Yes,No,No,Yes
0001TP_007950.png,61.92,52.5,135.11,Yes,No,No,Yes
0001TP_007980.png,61.09,52.81,133.81,Yes,No,No,Yes
0001TP_008010.png,59.98,51.85,125.55,Yes,No,No,Yes
0001TP_008040.png,60.15,50.78,128.09,Yes,No,No,Yes
0001TP_008070.png,61.31,51.98,129.85,Yes,No,No,Yes
0001TP_008100.png,61.05,52.52,131.51,Yes,No,No,Yes
0001TP_008130.png,60.86,52.82,128.48,Yes,No,No,Yes
0001TP_008160.png,61.02,52.17,128.67,Yes,No,No,Yes
0001TP_008190.png,61.06,52.22,129.15,Yes,No,No,Yes
0001TP_008220.png,61.84,52.65,130.69,Yes,No,No,Yes
0001TP_008250.png,62.25,51.77,132.5,Yes,No,No,Yes
